Touristic concept;National Total;Autonomous Communities and Cities;Traveller's residence;Periodo;Total
Number of nights;National Total;;Residents in Spain;2024M04;1.012.952
Number of nights;National Total;;Residents in Spain;2024M03;1.359.819
Number of nights;National Total;;Residents in Spain;2024M02;871.056
Number of nights;National Total;;Residents in Spain;2024M01;740.086
Number of nights;National Total;;Residents in Spain;2023M12;1.214.000
Number of nights;National Total;;Residents in Spain;2023M11;810.000
Number of nights;National Total;;Residents in Spain;2023M10;1.133.000
Number of nights;National Total;;Residents in Spain;2023M09;1.551.000
Number of nights;National Total;;Residents in Spain;2023M08;3.140.000
Number of nights;National Total;;Residents in Spain;2023M07;2.520.000
Number of nights;National Total;;Residents in Spain;2023M06;1.447.000
Number of nights;National Total;;Residents in Spain;2023M05;901.000
Number of nights;National Total;;Residents in Spain;2023M04;1.420.000
Number of nights;National Total;;Residents in Spain;2023M03;812.000
Number of nights;National Total;;Residents in Spain;2023M02;728.000
Number of nights;National Total;;Residents in Spain;2023M01;671.000
Number of nights;National Total;;Residents in Spain;2022M12;1.012.000
Number of nights;National Total;;Residents in Spain;2022M11;669.000
Number of nights;National Total;;Residents in Spain;2022M10;959.000
Number of nights;National Total;;Residents in Spain;2022M09;1.379.000
Number of nights;National Total;;Residents in Spain;2022M08;2.824.000
Number of nights;National Total;;Residents in Spain;2022M07;2.302.000
Number of nights;National Total;;Residents in Spain;2022M06;1.325.000
Number of nights;National Total;;Residents in Spain;2022M05;834.000
Number of nights;National Total;;Residents in Spain;2022M04;1.161.000
Number of nights;National Total;;Residents in Spain;2022M03;594.000
Number of nights;National Total;;Residents in Spain;2022M02;629.000
Number of nights;National Total;;Residents in Spain;2022M01;554.000
Number of nights;National Total;;Residents in Spain;2021M12;809.000
Number of nights;National Total;;Residents in Spain;2021M11;522.000
Number of nights;National Total;;Residents in Spain;2021M10;890.000
Number of nights;National Total;;Residents in Spain;2021M09;1.237.000
Number of nights;National Total;;Residents in Spain;2021M08;2.854.000
Number of nights;National Total;;Residents in Spain;2021M07;2.210.000
Number of nights;National Total;;Residents in Spain;2021M06;1.123.000
Number of nights;National Total;;Residents in Spain;2021M05;594.000
Number of nights;National Total;;Residents in Spain;2021M04;424.000
Number of nights;National Total;;Residents in Spain;2021M03;391.000
Number of nights;National Total;;Residents in Spain;2021M02;227.000
Number of nights;National Total;;Residents in Spain;2021M01;241.000
Number of nights;National Total;;Residents in Spain;2020M12;340.000
Number of nights;National Total;;Residents in Spain;2020M11;231.000
Number of nights;National Total;;Residents in Spain;2020M10;523.000
Number of nights;National Total;;Residents in Spain;2020M09;916.000
Number of nights;National Total;;Residents in Spain;2020M08;2.353.000
Number of nights;National Total;;Residents in Spain;2020M07;1.517.000
Number of nights;National Total;;Residents in Spain;2020M06;407.000
Number of nights;National Total;;Residents in Spain;2020M05;92.000
Number of nights;National Total;;Residents in Spain;2020M04;45.000
Number of nights;National Total;;Residents in Spain;2020M03;251.000
Number of nights;National Total;;Residents in Spain;2020M02;602.000
Number of nights;National Total;;Residents in Spain;2020M01;488.000
Number of nights;National Total;;Residents in Spain;2019M12;729.000
Number of nights;National Total;;Residents in Spain;2019M11;551.000
Number of nights;National Total;;Residents in Spain;2019M10;629.000
Number of nights;National Total;;Residents in Spain;2019M09;984.000
Number of nights;National Total;;Residents in Spain;2019M08;2.111.000
Number of nights;National Total;;Residents in Spain;2019M07;1.515.000
Number of nights;National Total;;Residents in Spain;2019M06;941.000
Number of nights;National Total;;Residents in Spain;2019M05;641.000
Number of nights;National Total;;Residents in Spain;2019M04;810.000
Number of nights;National Total;;Residents in Spain;2019M03;532.000
Number of nights;National Total;;Residents in Spain;2019M02;418.000
Number of nights;National Total;;Residents in Spain;2019M01;372.000
Number of nights;National Total;;Residents in Spain;2018M12;588.000
Number of nights;National Total;;Residents in Spain;2018M11;474.000
Number of nights;National Total;;Residents in Spain;2018M10;579.000
Number of nights;National Total;;Residents in Spain;2018M09;880.000
Number of nights;National Total;;Residents in Spain;2018M08;1.792.000
Number of nights;National Total;;Residents in Spain;2018M07;1.322.000
Number of nights;National Total;;Residents in Spain;2018M06;774.000
Number of nights;National Total;;Residents in Spain;2018M05;476.000
Number of nights;National Total;;Residents in Spain;2018M04;537.000
Number of nights;National Total;;Residents in Spain;2018M03;623.000
Number of nights;National Total;;Residents in Spain;2018M02;368.000
Number of nights;National Total;;Residents in Spain;2018M01;324.000
Number of nights;National Total;;Residents abroad;2024M09;3.592.712
Number of nights;National Total;;Residents abroad;2024M08;4.151.200
Number of nights;National Total;;Residents abroad;2024M07;3.987.447
Number of nights;National Total;;Residents abroad;2024M06;3.152.028
Number of nights;National Total;;Residents abroad;2024M05;3.174.037
Number of nights;National Total;;Residents abroad;2024M04;2.883.329
Number of nights;National Total;;Residents abroad;2024M03;2.631.791
Number of nights;National Total;;Residents abroad;2024M02;2.488.308
Number of nights;National Total;;Residents abroad;2024M01;2.293.797
Number of nights;National Total;;Residents abroad;2023M12;2.188.000
Number of nights;National Total;;Residents abroad;2023M11;2.266.000
Number of nights;National Total;;Residents abroad;2023M10;2.970.000
Number of nights;National Total;;Residents abroad;2023M09;2.969.000
Number of nights;National Total;;Residents abroad;2023M08;3.416.000
Number of nights;National Total;;Residents abroad;2023M07;3.246.000
Number of nights;National Total;;Residents abroad;2023M06;2.543.000
Number of nights;National Total;;Residents abroad;2023M05;2.534.000
Number of nights;National Total;;Residents abroad;2023M04;2.355.000
Number of nights;National Total;;Residents abroad;2023M03;2.034.000
Number of nights;National Total;;Residents abroad;2023M02;1.880.000
Number of nights;National Total;;Residents abroad;2023M01;1.834.000
Number of nights;National Total;;Residents abroad;2022M12;1.704.000
Number of nights;National Total;;Residents abroad;2022M11;1.768.000
Number of nights;National Total;;Residents abroad;2022M10;2.357.000
Number of nights;National Total;;Residents abroad;2022M09;2.489.000
Number of nights;National Total;;Residents abroad;2022M08;3.022.000
Number of nights;National Total;;Residents abroad;2022M07;2.989.000
Number of nights;National Total;;Residents abroad;2022M06;2.298.000
Number of nights;National Total;;Residents abroad;2022M05;2.134.000
Number of nights;National Total;;Residents abroad;2022M04;1.963.000
Number of nights;National Total;;Residents abroad;2022M03;1.701.000
Number of nights;National Total;;Residents abroad;2022M02;1.464.000
Number of nights;National Total;;Residents abroad;2022M01;1.247.000
Number of nights;National Total;;Residents abroad;2021M12;1.231.000
Number of nights;National Total;;Residents abroad;2021M11;1.348.000
Number of nights;National Total;;Residents abroad;2021M10;1.656.000
Number of nights;National Total;;Residents abroad;2021M09;1.509.000
Number of nights;National Total;;Residents abroad;2021M08;1.768.000
Number of nights;National Total;;Residents abroad;2021M07;1.546.000
Number of nights;National Total;;Residents abroad;2021M06;784.000
Number of nights;National Total;;Residents abroad;2021M05;664.000
Number of nights;National Total;;Residents abroad;2021M04;444.000
Number of nights;National Total;;Residents abroad;2021M03;384.000
Number of nights;National Total;;Residents abroad;2021M02;293.000
Number of nights;National Total;;Residents abroad;2021M01;321.000
Number of nights;National Total;;Residents abroad;2020M12;377.000
Number of nights;National Total;;Residents abroad;2020M11;325.000
Number of nights;National Total;;Residents abroad;2020M10;377.000
Number of nights;National Total;;Residents abroad;2020M09;393.000
Number of nights;National Total;;Residents abroad;2020M08;919.000
Number of nights;National Total;;Residents abroad;2020M07;826.000
Number of nights;National Total;;Residents abroad;2020M06;112.000
Number of nights;National Total;;Residents abroad;2020M05;77.000
Number of nights;National Total;;Residents abroad;2020M04;93.000
Number of nights;National Total;;Residents abroad;2020M03;788.000
Number of nights;National Total;;Residents abroad;2020M02;1.523.000
Number of nights;National Total;;Residents abroad;2020M01;1.422.000
Number of nights;National Total;;Residents abroad;2019M12;1.434.000
Number of nights;National Total;;Residents abroad;2019M11;1.394.000
Number of nights;National Total;;Residents abroad;2019M10;2.105.000
Number of nights;National Total;;Residents abroad;2019M09;2.410.000
Number of nights;National Total;;Residents abroad;2019M08;2.962.000
Number of nights;National Total;;Residents abroad;2019M07;2.784.000
Number of nights;National Total;;Residents abroad;2019M06;2.204.000
Number of nights;National Total;;Residents abroad;2019M05;1.867.000
Number of nights;National Total;;Residents abroad;2019M04;1.762.000
Number of nights;National Total;;Residents abroad;2019M03;1.497.000
Number of nights;National Total;;Residents abroad;2019M02;1.342.000
Number of nights;National Total;;Residents abroad;2019M01;1.268.000
Number of nights;National Total;;Residents abroad;2018M12;1.275.000
Number of nights;National Total;;Residents abroad;2018M11;1.245.000
Number of nights;National Total;;Residents abroad;2018M10;1.890.000
Number of nights;National Total;;Residents abroad;2018M09;2.189.000
Number of nights;National Total;;Residents abroad;2018M08;2.731.000
Number of nights;National Total;;Residents abroad;2018M07;2.630.000
Number of nights;National Total;;Residents abroad;2018M06;1.940.000
Number of nights;National Total;;Residents abroad;2018M05;1.761.000
Number of nights;National Total;;Residents abroad;2018M04;1.543.000
Number of nights;National Total;;Residents abroad;2018M03;1.324.000
Number of nights;National Total;;Residents abroad;2018M02;1.152.000
Number of nights;National Total;;Residents abroad;2018M01;1.079.000
Number of nights;National Total;01 Andalucía;Total;2024M09;""
Number of nights;National Total;01 Andalucía;Total;2024M08;""
Number of nights;National Total;01 Andalucía;Total;2024M07;""
Number of nights;National Total;01 Andalucía;Total;2024M06;1.281.687
Number of nights;National Total;01 Andalucía;Total;2024M05;1.249.723
Number of nights;National Total;01 Andalucía;Total;2024M04;1.088.519
Number of nights;National Total;01 Andalucía;Total;2024M03;993.140
Number of nights;National Total;01 Andalucía;Total;2024M02;873.034
Number of nights;National Total;01 Andalucía;Total;2024M01;729.121
Number of nights;National Total;01 Andalucía;Total;2023M12;828.000
Number of nights;National Total;01 Andalucía;Total;2023M11;722.000
Number of nights;National Total;01 Andalucía;Total;2023M10;1.073.000
Number of nights;National Total;01 Andalucía;Total;2023M09;1.198.000
Number of nights;National Total;01 Andalucía;Total;2023M08;1.650.000
Number of nights;National Total;01 Andalucía;Total;2023M07;1.413.000
Number of nights;National Total;01 Andalucía;Total;2023M06;1.038.000
Number of nights;National Total;01 Andalucía;Total;2023M05;953.000
Number of nights;National Total;01 Andalucía;Total;2023M04;1.022.000
Number of nights;National Total;01 Andalucía;Total;2023M03;711.000
Number of nights;National Total;01 Andalucía;Total;2023M02;652.000
Number of nights;National Total;01 Andalucía;Total;2023M01;577.000
Number of nights;National Total;01 Andalucía;Total;2022M12;631.000
Number of nights;National Total;01 Andalucía;Total;2022M11;550.000
Number of nights;National Total;01 Andalucía;Total;2022M10;825.000
Number of nights;National Total;01 Andalucía;Total;2022M09;975.000
Number of nights;National Total;01 Andalucía;Total;2022M08;1.424.000
Number of nights;National Total;01 Andalucía;Total;2022M07;1.255.000
Number of nights;National Total;01 Andalucía;Total;2022M06;917.000
Number of nights;National Total;01 Andalucía;Total;2022M05;805.000
Number of nights;National Total;01 Andalucía;Total;2022M04;810.000
Number of nights;National Total;01 Andalucía;Total;2022M03;569.000
Number of nights;National Total;01 Andalucía;Total;2022M02;521.000
Number of nights;National Total;01 Andalucía;Total;2022M01;407.000
Number of nights;National Total;01 Andalucía;Total;2021M12;476.000
Number of nights;National Total;01 Andalucía;Total;2021M11;429.000
Number of nights;National Total;01 Andalucía;Total;2021M10;627.000
Number of nights;National Total;01 Andalucía;Total;2021M09;695.000
Number of nights;National Total;01 Andalucía;Total;2021M08;1.126.000
Number of nights;National Total;01 Andalucía;Total;2021M07;903.000
Number of nights;National Total;01 Andalucía;Total;2021M06;471.000
Number of nights;National Total;01 Andalucía;Total;2021M05;283.000
Number of nights;National Total;01 Andalucía;Total;2021M04;145.000
