Touristic concept;National Total;Autonomous Communities and Cities;Traveller's residence;Periodo;Total
Number of stays;National Total;01 Andalucía;Residents abroad;2023M11;104.000
Number of stays;National Total;01 Andalucía;Residents abroad;2023M10;164.000
Number of stays;National Total;01 Andalucía;Residents abroad;2023M09;163.000
Number of stays;National Total;01 Andalucía;Residents abroad;2023M08;146.000
Number of stays;National Total;01 Andalucía;Residents abroad;2023M07;131.000
Number of stays;National Total;01 Andalucía;Residents abroad;2023M06;133.000
Number of stays;National Total;01 Andalucía;Residents abroad;2023M05;153.000
Number of stays;National Total;01 Andalucía;Residents abroad;2023M04;140.000
Number of stays;National Total;01 Andalucía;Residents abroad;2023M03;95.000
Number of stays;National Total;01 Andalucía;Residents abroad;2023M02;76.000
Number of stays;National Total;01 Andalucía;Residents abroad;2023M01;65.000
Number of stays;National Total;01 Andalucía;Residents abroad;2022M12;64.000
Number of stays;National Total;01 Andalucía;Residents abroad;2022M11;71.000
Number of stays;National Total;01 Andalucía;Residents abroad;2022M10;115.000
Number of stays;National Total;01 Andalucía;Residents abroad;2022M09;120.000
Number of stays;National Total;01 Andalucía;Residents abroad;2022M08;114.000
Number of stays;National Total;01 Andalucía;Residents abroad;2022M07;109.000
Number of stays;National Total;01 Andalucía;Residents abroad;2022M06;112.000
Number of stays;National Total;01 Andalucía;Residents abroad;2022M05;119.000
Number of stays;National Total;01 Andalucía;Residents abroad;2022M04;100.000
Number of stays;National Total;01 Andalucía;Residents abroad;2022M03;76.000
Number of stays;National Total;01 Andalucía;Residents abroad;2022M02;58.000
Number of stays;National Total;01 Andalucía;Residents abroad;2022M01;42.000
Number of stays;National Total;01 Andalucía;Residents abroad;2021M12;48.000
Number of stays;National Total;01 Andalucía;Residents abroad;2021M11;57.000
Number of stays;National Total;01 Andalucía;Residents abroad;2021M10;81.000
Number of stays;National Total;01 Andalucía;Residents abroad;2021M09;71.000
Number of stays;National Total;01 Andalucía;Residents abroad;2021M08;66.000
Number of stays;National Total;01 Andalucía;Residents abroad;2021M07;55.000
